ip,prefix,asn,country,role,service,events,first_seen,last_seen,notes
213.209.159.136,,,,persistent-scanner,pptpd,102,2026-08-17,2026-08-17,"busiest source in the log; connected every 7-8 minutes for the full 13-hour window"
58.248.91.124,,,,service-scanner,mssqld,44,2026-08-17,2026-08-17,"44 of the 51 MSSQL events"
192.155.89.166,,,,database-discovery,mongod,34,2026-08-17,2026-08-17,"delivered its entire share in a tight burst"
138.197.219.187,,,,database-discovery,mongod,34,2026-08-17,2026-08-17,"delivered its entire share inside roughly two minutes"
34.22.162.8,,,,equal-share-fleet,smbd,33,2026-08-17,2026-08-17,"exactly 33 events; identical count to 34.76.228.66 and 35.195.101.2; ASN not enriched"
34.76.228.66,,,,equal-share-fleet,smbd,33,2026-08-17,2026-08-17,"exactly 33 events; identical count to 34.22.162.8 and 35.195.101.2; ASN not enriched"
35.195.101.2,,,,equal-share-fleet,smbd,33,2026-08-17,2026-08-17,"exactly 33 events; identical count to 34.22.162.8 and 34.76.228.66; ASN not enriched"
115.79.202.30,,,,smb-scanner,smbd,13,2026-08-17,2026-08-17,
118.69.180.64,,,,smb-scanner,smbd,12,2026-08-17,2026-08-17,
222.252.16.25,,,,smb-scanner,smbd,9,2026-08-17,2026-08-17,
83.239.62.122,,,,smb-scanner,smbd,9,2026-08-17,2026-08-17,
189.203.212.46,,,,smb-scanner,smbd,9,2026-08-17,2026-08-17,
78.164.199.243,,,,smb-scanner,smbd,9,2026-08-17,2026-08-17,
196.216.215.101,,,,smb-scanner,smbd,9,2026-08-17,2026-08-17,
81.0.59.161,,,,smb-scanner,smbd,9,2026-08-17,2026-08-17,
60.250.61.179,,,,smb-scanner,smbd,9,2026-08-17,2026-08-17,
3.129.187.38,,,,service-scanner,pptpd,9,2026-08-17,2026-08-17,
103.203.57.18,,,,smb-scanner,smbd,8,2026-08-17,2026-08-17,"9-way tie at 8 events"
77.41.155.218,,,,smb-scanner,smbd,8,2026-08-17,2026-08-17,"9-way tie at 8 events"
188.43.184.185,,,,smb-scanner,smbd,8,2026-08-17,2026-08-17,"9-way tie at 8 events"
203.128.83.106,,,,smb-scanner,smbd,8,2026-08-17,2026-08-17,"9-way tie at 8 events"
102.215.52.10,,,,smb-scanner,smbd,8,2026-08-17,2026-08-17,"9-way tie at 8 events"
14.160.244.248,,,,smb-scanner,smbd,8,2026-08-17,2026-08-17,"9-way tie at 8 events"
103.114.244.146,,,,smb-scanner,smbd,8,2026-08-17,2026-08-17,"9-way tie at 8 events"
14.195.10.85,,,,smb-scanner,smbd,8,2026-08-17,2026-08-17,"9-way tie at 8 events"
200.53.200.63,,,,smb-scanner,smbd,8,2026-08-17,2026-08-17,"9-way tie at 8 events"
