protocol,port,events,share_of_990,bistreams_2026_08_17,notes
smbd,445,675,68.2%,470,"all 55 captured malware samples arrived over this service"
pptpd,1723,114,11.5%,113,"102 of 114 from a single address, 213.209.159.136"
mongod,27017,77,7.8%,80,"almost entirely two addresses at 34 events each; burst pattern"
mssqld,1433,51,5.2%,6,"44 of 51 from a single address, 58.248.91.124"
mysqld,3306,33,3.3%,,"8 connections carried credentials, all root with empty password"
httpd,81,17,1.7%,,
ftpd,21,14,1.4%,,"2 anonymous logins; 4 AUTH TLS probes; 1 MGLNDD scanner banner"
epmapper,135,5,0.5%,,DCE/RPC endpoint mapper
mqttd,1883,3,0.3%,,
ftpdatalisten,,1,0.1%,,"sensor-generated listen event, not an inbound connection"
