md5,sha256,family,cluster,wncry_password,killswitch_domain,crypt_apis,mssecsvc_exe,loader_export,notes
951b218fab52434aa7d4624c03dd3415,4fc50923587e70fb3ce84ad1863eda0950fe63761758b1a1c071a73a5817cf00,WannaCry,A1,yes,no,yes,no,yes,
996c2b2ca30180129c69352a3a3515e4,df6d5b29a97647bca44e2306069f7675ef992f591c8c761af99bbdc17cfa7692,WannaCry,A1,yes,yes,yes,yes,yes,reference sample for the complete-payload rule
a55b9addb2447db1882a3ae995a70151,cf5ddb5dedea0104a3fc464c822e6181a9dd9fa6e27e713c54af0eafb7c5faf0,WannaCry,A1,yes,yes,yes,yes,yes,
414a3594e4a822cfb97a4326e185f620,6c8f85db6604cf701c5fbe62c872e21625a51f7edb407f813eb67918722d33b7,WannaCry,A1,yes,yes,yes,yes,yes,
bdcaf7ef34cd9b02932e5ee2297e4893,8d0c9d2e438f33dd7806ed8017baa1f114b6157f9f0eb1fb5d3b59351609120c,WannaCry,A1,yes,no,yes,no,yes,
b4dbf0de37aaf446af2f4ce8e0a0db83,a26e0413dd3e1f273f11ccfa62ce308fe1d62265be9ef65ca50ee2cbb3761a0c,WannaCry,A1,yes,yes,yes,yes,yes,
ed5fd21a30558b59b60a50f5823d02b7,df0456199c797478cb69656aa6f4e8a5daa6f71001408492f1e054a29baf73aa,WannaCry,A1,yes,yes,yes,yes,yes,
128d2cb3a85b16f57f6ba82c1233465d,49516e5c239881e9e8a8aff79eebf9d2937d77b09ea049cbc9c46f532ef7abf9,WannaCry,A1,yes,no,yes,yes,yes,
8e6bfea06cb00553ee29b3822b349bd6,e5eb5af2180ef5da1c34fa05ecf73190a67e10714485dee3619f56de6d43d077,WannaCry,A1,yes,no,yes,yes,yes,
cfa39aa98a75baf4698478177d571a4d,bf30f8840969014b85db7b1fbddf78e5e50cc5f33058cb3459d200bec4e17821,WannaCry,A1,yes,yes,yes,yes,yes,
c96b8c08aa8c7177a82b22d898eb1d79,d833fe282b1e263047428433c6f33f41feaa9ef7a58ed184298749f7ede4691d,WannaCry,A1,yes,no,yes,no,yes,
a4d49eaf60a8e333708469606ad9e1a4,e2b54741be34be2c0d2bdebb78f32d3f79a885397b3a46f87f62e896f1a42371,WannaCry,A1,yes,yes,yes,yes,yes,
0ab2aeda90221832167e5127332dd702,64bb708b31b4b043018457c1098465ea83da7d6408c7029b2f68c333fc25891c,WannaCry,A1,yes,no,yes,yes,yes,
a8a5c12f33434b1e14ae51d3da98eeca,a2459c89d088ac40f5d8d2ef90ea1d963c7f85c58b7e73506b0c7a1cfacd9b86,WannaCry,A1,yes,no,yes,yes,yes,
85905625e858e53712047ba1b37be9b9,77af54777fa92a278ae48462e553b938f8c8906fabc5b7c5b0741ae800758336,WannaCry,A1,yes,yes,yes,yes,yes,
b46e12f93dd4cc2b990d422a968b9ef9,4c578f78232d233a58aa43fd8ea421703dc7e1afe8359c34e1c331b47d7e70ce,WannaCry,A1,yes,yes,yes,yes,yes,
ae12bb54af31227017feffd9598a6f5e,c05e2dab77349cd639aa837e7e121710b8a0718d8fc93fb4cc6458ae90e5c597,WannaCry,A1,yes,yes,yes,yes,yes,
92b4a46fea607d797429533a92332a29,8531c32de49c1fbb92d1fa8071f269dc94f3f723d35f9d8426948bfb32536baf,WannaCry,A1,yes,no,yes,yes,yes,
d48e7ebef8005a893d0d4c6a8c020a46,bccf65c40db569d8ca72a23003d794ab0716507dc5b53f012c7c9b3a1f05a84d,WannaCry,A1,yes,yes,yes,yes,yes,
dd0f515ed8fd732bbbdf78db2f93c2c6,cf7e0fae9a07e20f74b257bbd4fc54e195a1ffb0cd8996e916e41a095c5ac0cd,WannaCry,A2,no,no,no,no,yes,"archive-intact subgroup: ZIP record count 30-32 but password and crypto markers absent; truncation does not explain this"
33d373e264dc7fdb0bcdbd8e075a6319,fade02b958b99c08787e13ba1117164bac6ba8ed27740cd590b5beed188fe540,WannaCry,A1,yes,no,yes,no,yes,
9d709394669a9a07f5e759148968d465,78ecdd4f9eb36ea0463a549c4124b10bbb0fdf9be76d137737de08d701fd25d5,WannaCry,A1,yes,no,yes,no,yes,
f5f5f4b69903ead601696df4279fcfb5,a68dbf03faf318b6b4c599e2b9d3da00703b2668c5dc22f3262a3effdc38f580,WannaCry,A1,yes,yes,yes,yes,yes,
5630a1e4d520ff06dd5e20a95101ab05,bb081d176180ae4c30bb062d8bb1858330861d78c670bc3e4c2933a4459cd0ad,WannaCry,A2,no,no,no,no,yes,"truncated subgroup: ZIP record count 16 against 30-32 in complete files"
5a6865c2a2cf22984c1aaf62d6f4c736,84efa21f72b2dea0b1f46c1a13dc3d231b1e0358290994c3eeac480012e4b96a,WannaCry,A1,yes,no,yes,no,yes,
c54fc9007930ee7507654204a48ff3b8,e108c67b1f8ad7f3fd99775575047b66257393bff28243f75fa259e83920ad23,WannaCry,A1,yes,no,yes,no,yes,
dbc927f7b85d7af340c37d82ea844d5f,aef06e21e1437d8f7b1dab741f80a1475a11898dda91f70d5bad11415977a811,WannaCry,A1,yes,yes,yes,yes,yes,
7edca8f7d130fba3cb50fd019ea08a60,0d88329c296099255c79fdf2b436624e8ffdb7fc3f07d8f7944ff23706a2e53a,WannaCry,A1,yes,yes,yes,yes,yes,
6567e663303386b7152d5fcab1f06cac,a6b18c8735800b87e039cf889ae0a87034d77353cd717f92a83815d3eb9cc5ba,WannaCry,A1,yes,no,yes,no,yes,
66bb0b650bfdf95d6000f97d4bbf0f25,0ce349c3dba0d77585320010f0531548729455aaedd56c2ecb9d5fb7bd4d2abc,WannaCry,A2,no,no,no,no,yes,"archive-intact subgroup: ZIP record count 30-32 but password and crypto markers absent"
0f866846fd08892804342e98228fce34,a4b31c9b4cfa56fc19c4b92a5a6c7d5f4fe81e01544426f5be9d78c8c8c499fa,WannaCry,A1,yes,no,yes,no,yes,
cd04b4d1ff7060806aa972214eff0e54,2557610c7a60f790051868762f9907822e52b2a40c09d3b9c8b241fe1ea28a01,WannaCry,A1,yes,no,yes,yes,yes,
95ae8e32eb8635e7eabe14ffbfaa777b,fb648bfb485f910e065cc18778364a56be32044d1ac4729449f3cc28221b12e8,WannaCry,A1,yes,no,yes,no,yes,
8f6a66a53beb129cd07a8520e1326041,cee5c8ec09f078bf499198d64d50b622ac8ac961b71af1c21b5a6e6885847c80,WannaCry,A1,yes,no,yes,yes,yes,
f34e6020101ddd8a36a35d890ed21a5b,94a30b56af9ad3547dfb4ea86e1206ec8a171996821583c36f2b128fc8a632f6,WannaCry,A1,yes,no,yes,yes,yes,
cd99e5e4f44621978faf8df0e01d2d2b,9348ff35903052b6874508e0fa116dacc4dca5b0a60710a6084c3ac5f01ae85f,WannaCry,A1,yes,no,yes,no,yes,
0f9617fe4bbab8e7530d4f0ded081b2f,2f8a6c7ad06fc0a1bc01fc2f201b64909c5a2bcb11b9e7b5e3ee029dfdfe8821,WannaCry,A1,yes,yes,yes,yes,yes,
cf4f46336abeec03630297f846d17482,f54fbfcb038af9a12d446f0150b97fef7a71ca02eec07c517f0ed00fdbea8185,WannaCry,A1,yes,yes,yes,yes,yes,
bc3bc8b596498c7d44d10a183b284051,e04e1927fe826c3178e5e0bd20a6230906d560531f43755aa5c4947130e21eac,WannaCry,A1,yes,no,yes,no,yes,
3ce7baba17fcf32f7310e9ab435b9511,a5bbece16747a3e413efac322ff1d92a46bf8d52ef277152c952ceeacbb4ad03,WannaCry,A1,yes,no,yes,yes,yes,
74e64cbac28a41f6f71582997ae5fea8,28998dbca5683b4cf986ebfb63b8e9ab7186a7c54acb56d7b391e48cd34d7eb3,WannaCry,A1,yes,no,yes,no,yes,
